            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457069.500000000, A.D. 2015-Feb-16 00:00:00.0000,  2.230596619920109E+08,  3.146237406033094E+07,  3.862764944710377E+07, -8.508842517202710E+00,  2.189497062134820E+01,  1.018148729023544E+00,  7.623788850076628E+02,  2.285554398637466E+08, -5.118159027889711E+00,
2457070.500000000, A.D. 2015-Feb-17 00:00:00.0000,  2.223152357621912E+08,  3.335276515303801E+07,  3.871401046934923E+07, -8.723334740804809E+00,  2.186374869366002E+01,  9.808990061336456E-01,  7.609009063984569E+02,  2.281123530236213E+08, -5.138429348785162E+00,
2457071.500000000, A.D. 2015-Feb-18 00:00:00.0000,  2.215522546061264E+08,  3.524037186208265E+07,  3.879714014929819E+07, -8.938352739231616E+00,  2.183051382554736E+01,  9.433490739584318E-01,  7.594171306256131E+02,  2.276675282375596E+08, -5.158388372502047E+00,
2457072.500000000, A.D. 2015-Feb-19 00:00:00.0000,  2.207706736102084E+08,  3.712501936735264E+07,  3.887701253263254E+07, -9.153884566698263E+00,  2.179524510641969E+01,  9.054985634147741E-01,  7.579276481740900E+02,  2.272209926322697E+08, -5.178030747158997E+00,
2457073.500000000, A.D. 2015-Feb-20 00:00:00.0000,  2.199704489094044E+08,  3.900653103442691E+07,  3.895360163491899E+07, -9.369917894872662E+00,  2.175792144937748E+01,  8.673471467624987E-01,  7.564325510826825E+02,  2.267727738002879E+08, -5.197351041458965E+00,
2457074.500000000, A.D. 2015-Feb-21 00:00:00.0000,  2.191515377207096E+08,  4.088472839944910E+07,  3.902688144525613E+07, -9.586440003588470E+00,  2.171852159371567E+01,  8.288945393499985E-01,  7.549319329670050E+02,  2.263228998068697E+08, -5.216343744034312E+00,
2457075.500000000, A.D. 2015-Feb-22 00:00:00.0000,  2.183138983774079E+08,  4.275943115422665E+07,  3.909682593007454E+07, -9.803437771400544E+00,  2.167702410764612E+01,  7.901405014073921E-01,  7.534258890426595E+02,  2.258713991969341E+08, -5.235003262810610E+00,
2457076.500000000, A.D. 2015-Feb-23 00:00:00.0000,  2.174574903641567E+08,  4.463045713157523E+07,  3.916340903709367E+07, -1.002089766598513E+01,  2.163340739124754E+01,  7.510848398882546E-01,  7.519145161485836E+02,  2.254183010020646E+08, -5.253323924392613E+00,
2457077.500000000, A.D. 2015-Feb-24 00:00:00.0000,  2.165822743529065E+08,  4.649762229092772E+07,  3.922660469944006E+07, -1.023880573438403E+01,  2.158764967965474E+01,  7.117274103607212E-01,  7.503979127705741E+02,  2.249636347475600E+08, -5.271299973472305E+00,
2457078.500000000, A.D. 2015-Feb-25 00:00:00.0000,  2.156882122396711E+08,  4.836074070422992E+07,  3.928638683993129E+07, -1.045714759309740E+01,  2.153972904649366E+01,  6.720681189488635E-01,  7.488761790649755E+02,  2.245074304595371E+08, -5.288925572264763E+00,
2457079.500000000, A.D. 2015-Feb-26 00:00:00.0000,  2.147752671821596E+08,  5.021962454214370E+07,  3.934272937552953E+07, -1.067590841802487E+01,  2.148962340757435E+01,  6.321069243252078E-01,  7.473494168825279E+02,  2.240497186720797E+08, -5.306194799972032E+00,
2457080.500000000, A.D. 2015-Feb-27 00:00:00.0000,  2.138434036382841E+08,  5.207408406058086E+07,  3.939560622196981E+07, -1.089507293425729E+01,  2.143731052485075E+01,  5.918438397551347E-01,  7.458177297923648E+02,  2.235905304344329E+08, -5.323101652277717E+00,
2457081.500000000, A.D. 2015-Feb-28 00:00:00.0000,  2.128925874055565E+08,  5.392392758759096E+07,  3.944499129856700E+07, -1.111462540572139E+01,  2.138276801065889E+01,  5.512789351941203E-01,  7.442812231061525E+02,  2.231298973182399E+08, -5.339640040874627E+00,
2457082.500000000, A.D. 2015-Mar-01 00:00:00.0000,  2.119227856613846E+08,  5.576896151062773E+07,  3.949085853320634E+07, -1.133454962468034E+01,  2.132597333224204E+01,  5.104123394384557E-01,  7.427400039023594E+02,  2.226678514248178E+08, -5.355803793028804E+00,
2457083.500000000, A.D. 2015-Mar-02 00:00:00.0000,  2.109339670042837E+08,  5.760899026421934E+07,  3.953318186752224E+07, -1.155482890109255E+01,  2.126690381657508E+01,  4.692442423302747E-01,  7.411941810506452E+02,  2.222044253924699E+08, -5.371586651181769E+00,
2457084.500000000, A.D. 2015-Mar-03 00:00:00.0000,  2.099261014960114E+08,  5.944381631806865E+07,  3.957193526226975E+07, -1.177544605183149E+01,  2.120553665549874E+01,  4.277748970176782E-01,  7.396438652363620E+02,  2.217396524038297E+08, -5.386982272593333E+00,
2457085.500000000, A.D. 2015-Mar-04 00:00:00.0000,  2.088991607046414E+08,  6.127324016561095E+07,  3.960709270289392E+07, -1.199638338977033E+01,  2.114184891117470E+01,  3.860046222705273E-01,  7.380891689851478E+02,  2.212735661932348E+08, -5.401984229028014E+00,
2457086.500000000, A.D. 2015-Mar-05 00:00:00.0000,  2.078531177485852E+08,  6.309706031305737E+07,  3.963862820530158E+07, -1.221762271273516E+01,  2.107581752187344E+01,  3.439338048527762E-01,  7.365302066876068E+02,  2.208062010541256E+08, -5.416586006487744E+00,
2457087.500000000, A.D. 2015-Mar-06 00:00:00.0000,  2.067879473415738E+08,  6.491507326895293E+07,  3.966651582184055E+07, -1.243914529233067E+01,  2.100741930810605E+01,  3.015629019517538E-01,  7.349670946240581E+02,  2.203375918464649E+08, -5.430781004993492E+00,
2457088.500000000, A.D. 2015-Mar-07 00:00:00.0000,  2.057036258386108E+08,  6.672707353427987E+07,  3.969072964749130E+07, -1.266093186264295E+01,  2.093663097911262E+01,  2.588924436651894E-01,  7.333999509893416E+02,  2.198677740041742E+08, -5.444562538418666E+00,
2457089.500000000, A.D. 2015-Mar-08 00:00:00.0000,  2.046001312829061E+08,  6.853285359313738E+07,  3.971124382627581E+07, -1.288296260882436E+01,  2.086342913971906E+01,  2.159230355464468E-01,  7.318288959176631E+02,  2.193967835425823E+08, -5.457923834377301E+00,
2457090.500000000, A.D. 2015-Mar-09 00:00:00.0000,  2.034774434538007E+08,  7.033220390403011E+07,  3.972803255788912E+07, -1.310521715556595E+01,  2.078779029757512E+01,  1.726553612084736E-01,  7.302540515074619E+02,  2.189246570658806E+08, -5.470858034170037E+00,
2457091.500000000, A.D. 2015-Mar-10 00:00:00.0000,  2.023355439156929E+08,  7.212491289179888E+07,  3.974107010455828E+07, -1.332767455546322E+01,  2.070969087078591E+01,  1.290901849869375E-01,  7.286755418462885E+02,  2.184514317745807E+08, -5.483358192791128E+00,
2457092.500000000, A.D. 2015-Mar-11 00:00:00.0000,  2.011744160679734E+08,  7.391076694022836E+07,  3.975033079813394E+07, -1.355031327728169E+01,  2.062910719595035E+01,  8.522835466295575E-02,  7.270934930356690E+02,  2.179771454729691E+08, -5.495417278999512E+00,
2457093.500000000, A.D. 2015-Mar-12 00:00:00.0000,  1.999940451959785E+08,  7.568955038536726E+07,  3.975578904741984E+07, -1.377311119412921E+01,  2.054601553661939E+01,  4.107080424570597E-02,  7.255080332159388E+02,  2.175018365765519E+08, -5.507028175457496E+00,
2457094.500000000, A.D. 2015-Mar-13 00:00:00.0000,  1.987944185229689E+08,  7.746104550959796E+07,  3.975741934574533E+07, -1.399604557154252E+01,  2.046039209218765E+01, -3.381443184739652E-03,  7.239192925910282E+02,  2.170255441194855E+08, -5.518183678940344E+00,
2457095.500000000, A.D. 2015-Mar-14 00:00:00.0000,  1.975755252631413E+08,  7.922503253649345E+07,  3.975519627878597E+07, -1.421909305549604E+01,  2.037221300723155E+01, -4.812727257426452E-02,  7.223274034531753E+02,  2.165483077619851E+08, -5.528876500620482E+00,
2457096.500000000, A.D. 2015-Mar-15 00:00:00.0000,  1.963373566756794E+08,  8.098128962650113E+07,  3.974909453263779E+07, -1.444222966034164E+01,  2.028145438130839E+01, -9.316547393104280E-02,  7.207325002075468E+02,  2.160701677977059E+08, -5.539099266429771E+00,
2457097.500000000, A.D. 2015-Mar-16 00:00:00.0000,  1.950799061198494E+08,  8.272959287349334E+07,  3.973908890215009E+07, -1.466543075668869E+01,  2.018809227922963E+01, -1.384947393013958E-01,  7.191347193967421E+02,  2.155911651610896E+08, -5.548844517503847E+00,
2457098.500000000, A.D. 2015-Mar-17 00:00:00.0000,  1.938031691111438E+08,  8.446971630222684E+07,  3.972515429952212E+07, -1.488867105923425E+01,  2.009210274182284E+01, -1.841136596851864E-01,  7.175341997251563E+02,  2.151113414346675E+08, -5.558104710712183E+00,
2457099.500000000, A.D. 2015-Mar-18 00:00:00.0000,  1.925071433784806E+08,  8.620143186675337E+07,  3.970726576316893E+07, -1.511192461455409E+01,  1.999346179719650E+01, -2.300207218909751E-01,  7.159310820831809E+02,  2.146307388563165E+08, -5.566872219278023E+00,
2457100.500000000, A.D. 2015-Mar-19 00:00:00.0000,  1.911918289224569E+08,  8.792450944982614E+07,  3.968539846686158E+07, -1.533516478886578E+01,  1.989214547252177E+01, -2.762143053311457E-01,  7.143255095712074E+02,  2.141494003264548E+08, -5.575139333492126E+00,
2457101.500000000, A.D. 2015-Mar-20 00:00:00.0000,  1.898572280746611E+08,  8.963871686334670E+07,  3.965952772914669E+07, -1.555836425577600E+01,  1.978812980634586E+01, -3.226926787574254E-01,  7.127176275234154E+02,  2.136673694151732E+08, -5.582898261524589E+00,
2457102.500000000, A.D. 2015-Mar-21 00:00:00.0000,  1.885033455580438E+08,  9.134381984989953E+07,  3.962962902305074E+07, -1.578149498402467E+01,  1.968139086145148E+01, -3.694539969372981E-01,  7.111075835313103E+02,  2.131846903692918E+08, -5.590141130339007E+00,
2457103.500000000, A.D. 2015-Mar-22 00:00:00.0000,  1.871301885483480E+08,  9.303958208542155E+07,  3.959567798607390E+07, -1.600452822523930E+01,  1.957190473827736E+01, -4.164962972719053E-01,  7.094955274669818E+02,  2.127014081193330E+08, -5.596859986712740E+00,
2457104.500000000, A.D. 2015-Mar-23 00:00:00.0000,  1.857377667365951E+08,  9.472576518305609E+07,  3.955765043047883E+07, -1.622743450171447E+01,  1.945964758891317E+01, -4.638174963562705E-01,  7.078816115060539E+02,  2.122175682864010E+08, -5.603046798369156E+00,
2457105.500000000, A.D. 2015-Mar-24 00:00:00.0000,  1.843260923926263E+08,  9.640212869824117E+07,  3.951552235387880E+07, -1.645018359423061E+01,  1.934459563168544E+01, -5.114153864826543E-01,  7.062659901502915E+02,  2.117332171889596E+08, -5.608693455224352E+00,
2457106.500000000, A.D. 2015-Mar-25 00:00:00.0000,  1.828951804296933E+08,  9.806843013508449E+07,  3.946926995013061E+07, -1.667274452992850E+01,  1.922672516634792E+01, -5.592876320881945E-01,  7.046488202498290E+02,  2.112484018494964E+08, -5.613791770754069E+00,
2457107.500000000, A.D. 2015-Mar-26 00:00:00.0000,  1.814450484700947E+08,  9.972442495407684E+07,  3.941886962053677E+07, -1.689508557025590E+01,  1.910601258989183E+01, -6.074317661479300E-01,  7.030302610249906E+02,  2.107631700010635E+08, -5.618333483484549E+00,
2457108.500000000, A.D. 2015-Mar-27 00:00:00.0000,  1.799757169118487E+08,  1.013698665811995E+08,  3.936429798536135E+07, -1.711717419900409E+01,  1.898243441299012E+01, -6.558451865147239E-01,  7.014104740876588E+02,  2.102775700936845E+08, -5.622310258612405E+00,
2457109.500000000, A.D. 2015-Mar-28 00:00:00.0000,  1.784872089963959E+08,  1.030045064184799E+08,  3.930553189566474E+07, -1.733897711045221E+01,  1.885596727709138E+01, -7.045251522074940E-01,  6.997896234621589E+02,  2.097916513006151E+08, -5.625713689756972E+00,
